cust_id,lookalikes
C0001,"[{'CustomerID': 'C0056', 'score': 0.9304265739853463}, {'CustomerID': 'C0152', 'score': 0.9869046482018119}, {'CustomerID': 'C0137', 'score': 0.9963323425457112}]"
C0002,"[{'CustomerID': 'C0010', 'score': 0.999181800363869}, {'CustomerID': 'C0199', 'score': 0.9993469209744869}, {'CustomerID': 'C0029', 'score': 0.9997577919968237}]"
C0003,"[{'CustomerID': 'C0131', 'score': 0.9995698787270858}, {'CustomerID': 'C0112', 'score': 0.9995704254614538}, {'CustomerID': 'C0178', 'score': 0.9999491872753427}]"
C0004,"[{'CustomerID': 'C0108', 'score': 0.9993154296151782}, {'CustomerID': 'C0075', 'score': 0.999774867626502}, {'CustomerID': 'C0021', 'score': 0.9999029227541466}]"
C0005,"[{'CustomerID': 'C0095', 'score': 0.9999466322360929}, {'CustomerID': 'C0144', 'score': 0.9999535673904797}, {'CustomerID': 'C0073', 'score': 0.9999664651439707}]"
C0006,"[{'CustomerID': 'C0196', 'score': 0.9545599462656269}, {'CustomerID': 'C0117', 'score': 0.9915523522623342}, {'CustomerID': 'C0079', 'score': 0.9998969172180885}]"
C0007,"[{'CustomerID': 'C0120', 'score': 0.9991928526246552}, {'CustomerID': 'C0193', 'score': 0.9993220044622224}, {'CustomerID': 'C0085', 'score': 0.9999761995718928}]"
C0008,"[{'CustomerID': 'C0139', 'score': 0.9976965787167643}, {'CustomerID': 'C0179', 'score': 0.9986864990487859}, {'CustomerID': 'C0194', 'score': 0.9993669805987333}]"
C0009,"[{'CustomerID': 'C0032', 'score': 0.9991462446506736}, {'CustomerID': 'C0142', 'score': 0.9996422140211862}, {'CustomerID': 'C0077', 'score': 0.9999358433247265}]"
C0010,"[{'CustomerID': 'C0002', 'score': 0.999181800363869}, {'CustomerID': 'C0025', 'score': 0.9994906669506808}, {'CustomerID': 'C0029', 'score': 0.9998298903880368}]"
C0011,"[{'CustomerID': 'C0016', 'score': 0.9932131637915763}, {'CustomerID': 'C0048', 'score': 0.9946779835821229}, {'CustomerID': 'C0183', 'score': 0.994722607171387}]"
C0012,"[{'CustomerID': 'C0188', 'score': 0.9898164696443068}, {'CustomerID': 'C0145', 'score': 0.9911523498987233}, {'CustomerID': 'C0102', 'score': 0.9962450399402293}]"
C0013,"[{'CustomerID': 'C0059', 'score': 0.9997185548987123}, {'CustomerID': 'C0153', 'score': 0.9997485587226155}, {'CustomerID': 'C0045', 'score': 0.9999912959125382}]"
C0014,"[{'CustomerID': 'C0151', 'score': 0.9999059818196547}, {'CustomerID': 'C0058', 'score': 0.999934595094791}, {'CustomerID': 'C0015', 'score': 0.9999527058752842}]"
C0015,"[{'CustomerID': 'C0014', 'score': 0.9999527058752842}, {'CustomerID': 'C0131', 'score': 0.9999538103963205}, {'CustomerID': 'C0058', 'score': 0.9999848310059166}]"
C0016,"[{'CustomerID': 'C0064', 'score': 0.9979477170891812}, {'CustomerID': 'C0183', 'score': 0.9999049142743388}, {'CustomerID': 'C0048', 'score': 0.9999108050862926}]"
C0017,"[{'CustomerID': 'C0090', 'score': 0.9973909970658703}, {'CustomerID': 'C0124', 'score': 0.999652068632123}, {'CustomerID': 'C0162', 'score': 0.9999312713015616}]"
C0018,"[{'CustomerID': 'C0182', 'score': 0.999956358653078}, {'CustomerID': 'C0170', 'score': 0.9999735409457394}, {'CustomerID': 'C0200', 'score': 0.9999991821921381}]"
C0019,"[{'CustomerID': 'C0034', 'score': 0.8817294069115329}, {'CustomerID': 'C0116', 'score': 0.9605762021423147}, {'CustomerID': 'C0172', 'score': 0.9999805686568761}]"
C0020,"[{'CustomerID': 'C0080', 'score': 0.9999018854141536}, {'CustomerID': 'C0078', 'score': 0.9999277519578567}, {'CustomerID': 'C0110', 'score': 0.9999946910812271}]"
